Metric,Input/Formula,Value,Notes
Active clients,Input,0,
New clients this month,Input,0,
Clients lost this month,Input,0,
Monthly recurring revenue,Input,0,
One-off revenue,Input,0,
Total monthly revenue,Formula,"=C5+C6",
Direct fulfilment cost,Input,0,
Gross profit,Formula,"=C7-C8",
Gross margin %,Formula,"=IF(C7=0,0,C9/C7)",
Agency ad spend,Input,0,
New customers acquired from paid ads,Input,0,
Paid CAC,Formula,"=IF(C12=0,0,C11/C12)",
Opening active clients,Input,0,
Client churn %,Formula,"=IF(C14=0,0,C4/C14)",
Account Managers,Input,0,
Clients per Account Manager,Formula,"=IF(C16=0,0,C2/C16)",
Creatives,Input,0,
Clients per Creative,Formula,"=IF(C18=0,0,C2/C18)",
Cash balance,Input,0,
Tax reserve,Input,0,
Overdue invoices,Input,0,
